DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
12.00,1328.00,1005.00,UA,13930,ORD,13204,MCO,6
12.00,1329.00,760.00,DL,12478,JFK,10397,ATL,6
12.00,1329.00,1111.00,WN,10529,BDL,15304,TPA,11
12.00,1329.00,1324.00,CO,14100,PHL,12266,IAH,6
12.00,1329.00,1599.00,DL,15024,STT,10397,ATL,9
12.00,1330.00,304.00,US,14107,PHX,14679,SAN,8
12.00,1330.00,495.00,WN,13851,OKC,11292,DEN,2
12.00,1330.00,862.00,UA,12892,LAX,11292,DEN,8
12.00,1330.00,1065.00,CO,11618,EWR,11697,FLL,10
12.00,1332.00,883.00,WN,11292,DEN,12191,HOU,7
12.00,1333.00,819.00,WN,13891,ONT,11292,DEN,8
12.00,1334.00,1489.00,WN,13198,MCI,13796,OAK,2
12.00,1335.00,587.00,WN,12448,JAN,13204,MCO,11
12.00,1335.00,1024.00,WN,14747,SEA,11292,DEN,11
12.00,1335.00,1723.00,UA,14679,SAN,13930,ORD,6
12.00,1336.00,651.00,WN,14771,SFO,14107,PHX,8
12.00,1336.00,936.00,CO,15376,TUS,12266,IAH,12
12.00,1336.00,936.00,US,11298,DFW,11057,CLT,7
12.00,1337.00,478.00,WN,10599,BHM,13204,MCO,12
12.00,1337.00,879.00,U5,14635,RSW,11193,CVG,3
12.00,1337.00,987.00,AS,14262,PSP,14747,SEA,8
12.00,1338.00,425.00,DL,13495,MSY,10397,ATL,12
12.00,1338.00,1542.00,AS,10299,ANC,14057,PDX,5
12.00,1339.00,497.00,NK,11433,DTW,10158,ACY,5
12.00,1339.00,639.00,UA,11292,DEN,15376,TUS,2
12.00,1341.00,1180.00,WN,14747,SEA,10140,ABQ,5
12.00,1344.00,133.00,WN,13204,MCO,14635,RSW,3
12.00,1344.00,570.00,WN,11481,ECP,12191,HOU,12
12.00,1344.00,1372.00,WN,15016,STL,12889,LAS,12
12.00,1345.00,938.00,CO,11618,EWR,13204,MCO,7
12.00,1347.00,342.00,WN,13871,OMA,15016,STL,11
12.00,1348.00,554.00,DL,10397,ATL,11042,CLE,12
12.00,1348.00,1048.00,WN,13198,MCI,15304,TPA,6
12.00,1349.00,377.00,WN,13296,MHT,10821,BWI,8
12.00,1349.00,959.00,XP,14761,SFB,10469,AZO,4
12.00,1352.00,342.00,WN,15016,STL,13871,OMA,12
12.00,1352.00,1781.00,UA,14893,SMF,13930,ORD,12
12.00,1353.00,1068.00,XP,14761,SFB,13933,ORH,10
12.00,1353.00,1428.00,DL,14869,SLC,13495,MSY,6
12.00,1354.00,1124.00,SY,10721,BOS,13487,MSP,7
12.00,1355.00,909.00,UA,14893,SMF,11292,DEN,4
12.00,1356.00,936.00,CO,15376,TUS,12266,IAH,12
12.00,1357.00,819.00,UA,13891,ONT,11292,DEN,3
12.00,1357.00,1416.00,CO,12266,IAH,12953,LGA,5
12.00,1358.00,304.00,US,14107,PHX,14679,SAN,6
12.00,1359.00,223.00,WN,12889,LAS,10800,BUR,11
12.00,1359.00,680.00,WN,11697,FLL,14492,RDU,11
12.00,1360.00,1140.00,WN,13198,MCI,12889,LAS,12
12.00,1360.00,2306.00,UA,12264,IAD,14747,SEA,12
12.00,1361.00,520.00,WN,12889,LAS,10713,BOI,11
12.00,1361.00,1589.00,SY,14771,SFO,13487,MSP,6
12.00,1361.00,2338.00,UA,14771,SFO,13830,OGG,1
12.00,1363.00,828.00,WN,12339,IND,13204,MCO,8
12.00,1363.00,1024.00,AS,14747,SEA,11292,DEN,6
12.00,1363.00,1390.00,WN,12892,LAX,12191,HOU,8
12.00,1364.00,395.00,CO,12266,IAH,13851,OKC,8
12.00,1364.00,742.00,WN,12451,JAX,14100,PHL,8
12.00,1364.00,1124.00,SY,13487,MSP,10721,BOS,7
12.00,1364.00,1557.00,US,11292,DEN,14100,PHL,7
12.00,1364.00,1770.00,AS,10423,AUS,14747,SEA,4
12.00,1365.00,352.00,0JQ,11973,GPT,10397,ATL,5
12.00,1365.00,712.00,FL,10397,ATL,10792,BUF,10
12.00,1366.00,717.00,WN,13232,MDW,10257,ALB,6
12.00,1366.00,1532.00,SY,14679,SAN,13487,MSP,1
12.00,1367.00,601.00,WN,14570,RNO,14107,PHX,7
12.00,1367.00,1024.00,AS,11292,DEN,14747,SEA,10
12.00,1367.00,1770.00,AS,14747,SEA,10423,AUS,4
12.00,1367.00,2521.00,UA,14771,SFO,14100,PHL,3
12.00,1368.00,718.00,WN,14730,SDF,13204,MCO,11
12.00,1369.00,238.00,DL,11433,DTW,13342,MKE,12
12.00,1369.00,1012.00,AA,13930,ORD,15304,TPA,4
